"STATEFIP","YEAR","POPULATION","SPHSERVICE","CMPSERVICE","OPISERVICE","RTCSERVICE","IJSSERVICE","Missing","Trauma/Stress-related Disorder","Anxiety Disorder","ADHD","Conduct Disorder","Delirium/Dementia","Bipolar Disorder","Depressive Disorder","Oppositional Defiant Disorder","Pervasive Developmental Disorders","Personality Disorders","Schizophrenia or other Psychotic Disorders","Alcohol/Substance Use Disorders","Other Disorder/Condition","CODE"
"Arizona",2017,196212,211,195884,25082,267,5,45793,11691,24187,18596,1605,6,26306,37269,1584,4758,1000,19727,10,3680,4
"Arkansas",2017,74985,860,74526,1779,422,0,5749,11026,9114,2479,2790,196,7143,20355,1814,93,454,8524,0,5248,5
"California",2017,638455,12074,600262,19908,8005,40262,61133,66959,45086,27696,14243,1050,43381,129899,9619,3701,906,104596,57643,72543,6
"Colorado",2017,147250,1466,140984,1,4801,2,1871,32916,17708,7393,1933,103,15826,38810,1942,369,955,12898,6089,8437,8
"Connecticut",2017,97130,1199,96198,291,1886,6,18587,13845,7845,6327,1829,563,8658,18315,1349,1383,460,10980,1668,5321,9
"Delaware",2017,9578,1075,4414,1691,4208,6,1953,937,214,367,84,32,1255,1446,241,48,21,1184,1670,126,10
"District of Columbia",2017,36668,678,36360,16,101,0,7043,2651,1147,1945,333,21,5118,10148,379,20,30,5752,458,1623,11
"Florida",2017,213758,5409,210557,3681,3921,2637,32719,31329,12942,13859,2221,329,25588,50327,1691,543,491,29621,814,11284,12
"Hawaii",2017,9915,474,9714,166,125,1,816,1947,226,336,185,34,1136,1869,237,19,24,2866,22,198,15
"Idaho",2017,15424,2033,14750,2346,101,3,7763,331,400,182,92,15,1540,2206,178,64,148,1961,2,542,16
